,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,idx,month_init,time_finish,time_start,water_period,year
121,220.10504150390625,18.846144772963903,7.871316909790039,12.729590620123581,1399.7703880919507,6,121,4,2019-07-09,2019-04-09,HW,2019
122,220.7078399658203,18.186829049774648,7.932968616485596,8.625177551094962,1471.4185641036038,6,122,7,2019-09-23,2019-07-09,F,2019
123,234.16091918945312,84.63590970783298,9.532992362976074,51.145076982306975,951.6931587099025,6,123,9,2019-12-24,2019-09-23,LW,2019
124,229.1150360107422,44.4127562664043,7.932968616485596,16.887689000789898,1322.433629127874,6,124,12,2020-04-08,2019-12-24,R,2019
125,230.7622833251953,17.942366944557516,7.929745674133301,10.808303292867107,1388.9073479262233,6,125,4,2020-07-09,2020-04-08,HW,2020
126,216.53858947753906,19.252982143073517,7.871316909790039,8.31043875129607,1386.7318863410776,6,126,7,2020-09-23,2020-07-09,F,2020
127,234.13475036621094,156.80679926680426,8.762274742126465,65.34488461086109,870.9230101919843,6,127,9,2020-12-16,2020-09-23,LW,2020
128,233.83187866210938,59.25633343665595,8.58413314819336,37.88091579639914,1062.2312164942164,6,128,12,2021-03-16,2020-12-16,R,2020
129,222.3549041748047,20.479828467574126,7.887654781341553,16.35300503703702,1476.582541807496,6,129,3,2021-06-16,2021-03-16,HW,2021
130,215.6035919189453,18.737271808559303,7.871316909790039,8.016662467637367,1540.6992103579562,6,130,6,2021-09-16,2021-06-16,F,2021
131,233.2685546875,86.126608245818,8.109652519226074,52.2862017105925,1067.8467128055493,6,131,9,2021-12-16,2021-09-16,LW,2021
132,229.90956115722656,54.608522592416996,8.823901176452637,23.875605210957566,1266.3716786458226,6,132,12,2022-03-16,2021-12-16,R,2021
133,215.43914794921875,22.29036628247307,7.890657424926758,15.926302581926713,1546.8258473515014,6,133,3,2022-06-16,2022-03-16,HW,2022
134,215.13650512695312,17.000594966454305,7.912693023681641,6.877647074631695,1538.3428613469405,6,134,6,2022-09-16,2022-06-16,F,2022
135,234.8497314453125,119.85448831793643,8.382858276367188,72.70486163366978,842.9505331267965,6,135,9,2022-12-16,2022-09-16,LW,2022
136,233.82449340820312,49.25365507882115,7.894221305847168,26.29336946422136,1176.8004705409487,6,136,12,2023-03-16,2022-12-16,R,2022
137,215.88955688476562,22.039037825493267,7.863780498504639,12.934526438368765,1381.9801043063344,6,137,3,2023-06-16,2023-03-16,HW,2023
138,215.53128051757812,24.62412453309287,7.912693023681641,8.84538923253411,1398.1011620339107,6,138,6,2023-09-16,2023-06-16,F,2023
139,233.40277099609375,187.41440338572357,8.689016342163086,56.53101428781168,629.2155556177454,6,139,9,2023-12-16,2023-09-16,LW,2023
140,234.74111938476562,63.839445589019306,8.0036039352417,64.34623820173749,502.09348110315426,6,140,12,2024-03-16,2023-12-16,R,2023
