,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,time_finish,time_start,water_period,year,mean_discharge,mean_loc_chirps,u_wind_loc,v_wind_loc,watershed,anthropogenic_km2,natural_km2
115,232.5489196777344,172.9158103473386,10.83965301513672,58.28226767045798,812.1861538114164,6.0,2001-12-24,2001-09-16,LW,2001,104194.75157000002,155.70155183409796,-2.3273299254918016,0.4060388002193996,Local Watershed,184.93173960448843,1691.5023548585264
116,235.0374755859375,55.332609976506696,8.50539779663086,29.63017344991901,1156.0449933971745,6.0,2002-04-09,2001-12-24,R,2001,161312.87371028037,1131.164536235298,-1.7264360700729455,-0.4637881938270791,Local Watershed,184.93173960448843,1691.5023548585264
117,216.28944396972656,20.54956120856621,7.890129566192627,12.988204241766487,1357.7971873630115,6.0,2002-07-09,2002-04-09,HW,2002,,614.7705005039974,-2.3998504269120216,-0.0506361910288733,Local Watershed,181.07005275122427,1671.4342046668846
119,218.06881713867188,26.7536901760844,8.116841316223145,15.692749933346036,1398.300325030739,6.0,2002-09-23,2002-07-09,F,2002,,79.9646051928949,-2.7600889217936446,0.1065082825522301,Local Watershed,181.07005275122427,1671.4342046668846
121,234.0359649658203,161.60280280842264,10.83965301513672,65.19973498756657,899.2909782520265,6.0,2002-12-24,2002-09-23,LW,2002,,260.1756921779919,-2.0917536524858,0.1938528543436348,Local Watershed,181.07005275122427,1671.4342046668846
123,233.58740234375,106.53181397594015,9.203275680541992,67.70280903777831,936.6414423302444,6.0,2003-04-09,2002-12-24,R,2002,154128.3973457944,986.0674877253588,-2.3156264522800463,-0.3086336405591197,Local Watershed,181.07005275122427,1671.4342046668846
124,226.0424346923828,32.65328054953229,7.894221305847168,21.925103723330448,1320.4229579830414,6.0,2003-07-09,2003-04-09,HW,2003,,775.1054699590335,-1.9986522841407768,-0.1638145615966713,Local Watershed,159.12547532537604,1708.5312593988117
126,228.18182373046875,23.056590133663523,8.09087085723877,17.289416070101236,1342.4247985307736,6.0,2003-09-23,2003-07-09,F,2003,,210.21732680102104,-1.6246384918241314,0.0027426822826709,Local Watershed,159.12547532537604,1708.5312593988117
128,235.1651306152344,176.99009080112776,10.828718185424805,63.95991799531605,1006.5939725160288,6.0,2003-12-16,2003-09-23,LW,2003,,159.5601569587017,-1.7199281757312048,0.4233240993318483,Local Watershed,159.12547532537604,1708.5312593988117
130,235.435546875,163.3542731362934,8.868292808532715,69.04686826344708,1014.063470306324,6.0,2004-03-16,2003-12-16,R,2003,,881.0208292750905,-1.5560157524425686,-0.2849955413407128,Local Watershed,159.12547532537604,1708.5312593988117
132,232.0974578857422,39.05706998570869,8.056079864501953,26.236009825359268,1362.4633823803026,6.0,2004-06-16,2004-03-16,HW,2004,,922.7212017674136,-1.9410934633505368,-0.0821705255549054,Local Watershed,165.56325703991192,1716.4596002533958
134,232.0791473388672,39.54264805494731,8.241060256958008,17.68869663215676,1344.387070473793,6.0,2004-09-16,2004-06-16,F,2004,180681.39612903225,245.8714674453488,-2.082415703023333,-0.1125477973406233,Local Watershed,165.56325703991192,1716.4596002533958
135,233.7545318603516,178.50024611292463,10.605066299438477,49.86272211125438,937.833274427502,6.0,2004-12-16,2004-09-16,LW,2004,,105.89177782005844,-1.671759090414339,0.5724058666694581,Local Watershed,165.56325703991192,1716.4596002533958
137,234.29122924804688,161.74315852028022,8.288423538208008,65.55954871208148,993.8951880683246,6.0,2005-03-16,2004-12-16,R,2004,,923.892909112162,-1.404162840254232,-0.2297235413867253,Local Watershed,165.56325703991192,1716.4596002533958
139,232.69281005859372,44.4539171661687,7.932438373565674,28.148291897117957,1458.8827290876725,6.0,2005-06-08,2005-03-16,HW,2005,,996.8275750649216,-2.2800767624538487,-0.1823510158070429,Local Watershed,176.47407226838456,1632.9113137337615
141,217.8419952392578,22.826761424922324,7.932968616485596,11.631618499278671,1459.3398103156192,6.0,2005-08-23,2005-06-08,F,2005,,215.6634752439808,-1.5547787705079985,-0.4991852715573027,Local Watershed,176.47407226838456,1632.9113137337615
143,233.8891448974609,149.22042591912833,10.828718185424805,67.56147314606083,840.001407327343,6.0,2005-11-23,2005-08-23,LW,2005,,101.65854497614686,-1.898772373063308,0.3019622162725183,Local Watershed,176.47407226838456,1632.9113137337615
145,228.5950164794922,40.975093651166695,8.094075202941895,19.89128082744536,1265.5818701104415,6.0,2006-03-09,2005-11-23,R,2005,145596.3938224299,1056.8656086593694,-1.5419336712310134,-0.2791709711941945,Local Watershed,176.47407226838456,1632.9113137337615
146,232.54542541503903,25.341481579739067,7.900279521942139,20.97898148260263,1431.3216756729416,6.0,2006-06-16,2006-03-09,HW,2006,229704.03980000003,1496.7188533982865,-1.6529587388678528,-0.1187124126143245,Local Watershed,182.3630693106633,1585.55783755338
147,217.6182556152344,23.632488223077143,8.045127868652344,9.595307504939507,1525.1863525719953,6.0,2006-09-16,2006-06-16,F,2006,197713.9829032258,206.40753520892767,-1.937658943191676,-0.202552613232481,Local Watershed,182.3630693106633,1585.55783755338
148,235.1406097412109,183.76212333890675,8.767578125,55.45311301742732,790.9405580131615,6.0,2006-12-24,2006-09-16,LW,2006,103431.77143,311.93476676852504,-1.9862963485170368,0.1609271444874622,Local Watershed,182.3630693106633,1585.55783755338
149,231.75466918945312,60.065311530733446,8.244890213012695,27.6685554347546,1252.3337068014102,6.0,2007-04-09,2006-12-24,R,2006,164946.1878691589,1007.7934198415116,-1.7962421262189312,-0.2193559538598556,Local Watershed,182.3630693106633,1585.55783755338
150,222.45623779296875,24.546124793342575,7.912693023681641,16.647023153972526,1458.9276931970849,6.0,2007-07-09,2007-04-09,HW,2007,,747.7847865524628,-1.8304883060772357,-0.2308846546785196,Local Watershed,186.10605872261,1543.088183790319
152,229.0827178955078,30.0945831445042,8.048460006713867,16.577484448529578,1431.244499561231,6.0,2007-09-23,2007-07-09,F,2007,,145.76275413791686,-1.83084094024842,-0.2647117927141882,Local Watershed,186.10605872261,1543.088183790319
154,229.0326995849609,107.11740263728996,10.83965301513672,53.95137401052455,951.3347028728538,6.0,2007-12-24,2007-09-23,LW,2007,,264.29631742856424,-1.6536482727026802,-0.1290227773544498,Local Watershed,186.10605872261,1543.088183790319
156,228.6107177734375,42.8958957664711,8.030305862426758,20.528865646381057,1424.7736218142916,6.0,2008-04-08,2007-12-24,R,2007,,1408.526195207568,-1.4041612402559247,-0.4969512405245567,Local Watershed,186.10605872261,1543.088183790319
158,215.13650512695312,19.61069262739656,7.920907974243164,11.917000702059148,1544.351923470245,6.0,2008-07-09,2008-04-08,HW,2008,,959.2812947012486,-1.6345616786448214,-0.3518925856581026,Local Watershed,183.350470475919,1519.3375589694058
160,218.30062866210935,27.41978597298247,10.708502769470217,10.521386143719337,1473.9615802765577,6.0,2008-09-23,2008-07-09,F,2008,,56.52905240195058,-1.8203263419370213,-0.02778682337956,Local Watershed,183.350470475919,1519.3375589694058
162,234.6470184326172,174.18851457806016,10.83965301513672,56.68583354074914,895.1150323841769,6.0,2008-12-16,2008-09-23,LW,2008,,336.6300131724098,-0.9280225036980064,0.1506741134186099,Local Watershed,183.350470475919,1519.3375589694058
164,235.12559509277344,100.3768102594413,8.185346603393555,59.06782549416236,1143.3131323365897,6.0,2009-03-16,2008-12-16,R,2008,,1033.7160993394732,-1.5935094426871486,-0.4667026625941671,Local Watershed,183.350470475919,1519.3375589694058
166,230.37767028808597,25.912715056876497,7.902099609375,16.468539753394616,1533.0528615882608,6.0,2009-06-16,2009-03-16,HW,2009,,1251.355535281055,-1.95816679883308,-0.043711928121945,Local Watershed,187.34821668158517,1471.528455106702
168,215.13650512695312,19.618873856722328,7.940846920013428,6.579395997259359,1632.2603800863171,6.0,2009-09-16,2009-06-16,F,2009,228467.13451612904,126.41115471838508,-2.926207171935282,-0.0243109135282215,Local Watershed,187.34821668158517,1471.528455106702
169,231.5045166015625,90.69269946593654,10.828718185424805,59.84941164494683,940.359836466838,6.0,2009-12-16,2009-09-16,LW,2009,,72.69812671329046,-2.5636594117019467,0.0325049058703146,Local Watershed,187.34821668158517,1471.528455106702
171,231.9976348876953,64.56680111048527,10.726144790649414,43.85055645020105,1107.374412342253,6.0,2010-03-16,2009-12-16,R,2009,,487.87700370881913,-2.1277984506372656,-0.3949054580979915,Local Watershed,187.34821668158517,1471.528455106702
173,226.972900390625,24.49089181057112,7.849280834197998,15.499034351203871,1405.6454217937962,6.0,2010-06-16,2010-03-16,HW,2010,,909.3201713418204,-1.4874620581944695,-0.1243431607905672,Local Watershed,183.19503493393483,1569.7390006698708
175,226.06837463378903,27.02832174155575,7.918811321258545,11.888457676981096,1428.3716402360426,6.0,2010-09-16,2010-06-16,F,2010,183720.5707526882,334.15072760054323,-1.5118045321356142,-0.5762527136616674,Local Watershed,183.19503493393483,1569.7390006698708
176,233.88414001464844,166.20242919216932,8.173882484436035,64.18444140420185,704.6098963863473,6.0,2010-12-24,2010-09-16,LW,2010,86233.76481000001,313.28718003208587,-1.3314702280814037,-0.1718776426711314,Local Watershed,183.19503493393483,1569.7390006698708
177,234.2957305908203,47.53664594192395,8.054278373718262,33.930798785671584,1028.0580175605126,6.0,2011-04-09,2010-12-24,R,2010,154222.23334579438,1443.3208420506544,-1.4472906470472493,-0.5200962697485788,Local Watershed,183.19503493393483,1569.7390006698708
178,215.13650512695312,18.387730572425717,7.849280834197998,9.579272963435566,1411.0294270963911,6.0,2011-07-01,2011-04-09,HW,2011,,584.9972190674863,-2.009203345472391,-0.0759380094854664,Local Watershed,174.5874835188852,1567.0379514785377
180,215.5395355224609,24.38359079449372,10.010379791259766,11.162473584889582,1447.818425770927,6.0,2011-08-31,2011-07-01,F,2011,,133.02675676662994,-2.3578586233995127,-0.35995672680981,Local Watershed,174.5874835188852,1567.0379514785377
182,232.6334381103516,164.94726661599185,9.243779182434082,62.96249560158394,792.9994450613322,6.0,2011-11-23,2011-08-31,LW,2011,,233.9299427120554,-1.6680806457750854,0.0929540690283171,Local Watershed,174.5874835188852,1567.0379514785377
186,225.8527984619141,23.80689373694818,7.903843879699707,12.71747320382548,1542.015689773139,6.0,2012-06-16,2012-03-08,HW,2012,,756.2192278641669,-2.121827371474566,0.0858602407994265,Local Watershed,174.07277466461045,1532.2640844522596
188,215.9747009277344,23.17317998152217,7.944692611694336,8.83293162979944,1545.135801675982,6.0,2012-09-16,2012-06-16,F,2012,208690.6603225806,268.8564112851343,-2.3195059246513186,0.0618275422089955,Local Watershed,174.07277466461045,1532.2640844522596
189,229.2765655517578,173.0432548091945,10.23537540435791,53.78276550829314,663.3043330533433,6.0,2012-12-16,2012-09-16,LW,2012,,227.94383480561325,-2.005243679328052,0.4660494718977818,Local Watershed,174.07277466461045,1532.2640844522596
193,225.8527984619141,23.21941640113709,7.910932540893555,16.422054207093232,1444.078915213352,6.0,2013-06-16,2013-03-16,HW,2013,,1056.872762350603,-2.081082905614121,-0.1109400090334839,Local Watershed,181.15282094303,1538.51449106108
195,215.13650512695312,19.97038509847303,7.890129566192627,9.926590157055331,1516.2127367789851,6.0,2013-09-16,2013-06-16,F,2013,211249.61688172043,369.45637502634736,-1.7328863336497158,-0.272232503220172,Local Watershed,181.15282094303,1538.51449106108
196,232.88214111328125,75.23563962416996,9.389283180236816,41.33244155322564,1088.595262135832,6.0,2013-12-16,2013-09-16,LW,2013,,242.2135110408164,-1.5247230509961094,0.0411124555181861,Local Watershed,181.15282094303,1538.51449106108
200,216.5937957763672,21.106928542152424,7.899100303649902,11.601760158263152,1554.4139560685096,6.0,2014-06-16,2014-03-16,HW,2014,,718.3489020818402,-2.229013524971267,-0.2674439858721865,Local Watershed,186.9202394168476,1464.212168872234
